Date,Title,Content,Author,Corporate Author,Class
FEB 12 2020,,"Justice Dr. Jane Ansah states: ""There were no altered results; they were only corrected. The law does not address that. It only provides that the will of the people should be respected. If you write a cheque and correct it, does it become useless?""",Faith Kadzanja,Times 360 Malawi,1
JAN 22 2020,,"Businessperson Thom Mpinganjira has finally left the ACB offices in Blantyre amid tight security provided by the Malawi Defence Force and the police. He is now at Blantyre Police, where he is expected to be held until tomorrow.",,Times 360 Malawi,1
JAN 23 2020,,The Human Rights Defenders Coalition (HRDC) has called on the Judiciary and the Malawi Law Society to investigate the conduct of Zomba Principal Resident Magistrate Ben Chitsakamile and the lawyers involved in the late-night quashing of Thom Mpinganjira's arrest warrant. HRDC Chairperson Timothy Mtambo has also demanded the re-arrest of the corruption suspect.,,Times 360 Malawi,1
10/1/2024,,"Democratic Progressive Party (DPP) Vice President for the Central region, Alfred Gangata, has launched a scathing attack on President Dr. Lazarus Chakwera’s economic policies, citing skyrocketing debt, youth unemployment, and deepening corruption.
“President Chakwera promised Malawians a host of things but none has materialized apart from corruption which he is championing,” Gangata said at a rally in Kasungu district’s Chithiba ground.
“Malawi has lost enviable ground to other countries due to lack of investment and dedicated policy toward economic transformation and growth.”
Gangata criticized Chakwera’s leadership, stating, “Apart from kissing the sky with his family, what else can you point at Chakwera that he has done for poor Malawians?”",,Malawi Voice,0
,,,,,1
,DPP LEGISLATORS DEMAND CONVENTION FOR PARTY TO ELECT LEADRES,"Some Democratic Progressive Party (DPP) legislators have faulted endorsements of former president Peter Mutharika to lead the party in the 2025 Tripartite Elections as unconstitutional and have since said: ""A regional governor or vice-president of the party carry one vote each. But we have regional, district and constituency members who bring more votes. I am not moved. I will challenge them at the convention, and they will be surprised. He said the party needs to call for a convention by July 18 and not later than July 28 as per the constitution. But Chiradzulu South legislator Joseph Mwanamvekha, who is also vying for the DPP presidency, sounded cautious, saying, the matter was internal, and he will wait for Mutharika to make formal communication. ""Smooth discussions are supposed to take place within the party. In any case, if indeed our president wants to stand, he will communicate to us internally. We will wait for him to pronounce his stand,"" he said. Former Reserve Bank of Malawi governor Dalitso Kabambe, DPP vice-president for the Eastern Region Bright Msaka and United States-based space scientist Cedrick Ngalande are the other presidential hopefuls Commenting on the developments, University of Malawi associate professor of political science Boniface Dulani urged other candidates not to back down, wondering why some members were insisting on Mutharika who Malawians rejected during the 2020 fresh presidential polls. He said: ""This just shows inability to groom leadership. Mutharika served this country and at his age, you would think they would go for someone to take over. They need to learn from Malawi Congress Party because it suffered a lot due to infighting. 

But Mutharika's spokesperson Shadric Namalomba, while saying the former Malawi leader was still consulting. challenged other contestants to get endorsements if they can. 
He said: ""People go to the convention to affirm their endorsements. They should not pressurize Mutharika to come out now, they don't have any moral standing to ask for that. 

""That said, these endorsements are coming because they see Mutharika as the only hope for the country,"" he said. 

positions expire in July. Reads the articles in part: 

""Members of the National Governing Council shall be elected at the National Political Conference of the party for a period of five years and shall continue to hold office for a term up to the election of new office bearers, notwithstanding the expiry of their term of office. 

Meanwhile, some DPP presidential hopefuls have vowed to challenge Mutharika during the party's convention while others have asked him to come out clearly and communicate his intentions on the matter. 
On the other hand, political pundits feel that while Mutharika has the right to contest during any election, and those endorsing him too have such rights, they warn that Malawians are likely not to vote for him, and urge other candidates not to give up. 

In an interview yesterday, Nankhumwa said he was ready to face whoever decides to compete at the convention. 

He said: ""At some point they stopped people from making endorsements. but today their people are doing the same. Endorsement is not a legal way of doing things, a party has a constitution, and a convention must be held, we need it to take place at all cost. 

""I have said this several times, regardless of whoever stands. I will be there, I will contest, that's it. 

Another DPP hopeful Paul Gadama said he will also contest during the polls. 

He said DPP has over 2.000 delegates, who are way too many than the few individuals making endorsements. ",,National Publications Limited,1
FEB 10 2020,,Commissioner Elvey Mtafu states that the Commission appealed to the Supreme Court of Appeal using sketchy details of the judgment while awaiting to read the full 500-page judgment.,Audrey Kapalamula,Times 360 Malawi,1
FEB 11 2020,,"Commissioner Kunje asserts to the committee that the Constitutional Court was incorrect, highlighting the necessity to appeal the case.",Taonga Sabola,Times 360 Malawi,1
,"QUADRIA MUSLIMS MEET, PRAY FOR CHILIMA ","Quadría Muslim Association of Malawi leaders yesterday had an audience with Vice-President Saulos Chilima at his office in Lilongwe to pray and wish him well as he goes through what the grouping described as ""trying moments"", According to the Office of the Vice-President spokesperson Pilirani Phiri, the Veep thanked the grouping for the visit and gesture. Said Phiri: ""He [the Veep] told then everything happens for a reason and through God's plan."" Chilima is facing corruption charges and is expected to take plea on August 1 this year when his case resumes at the High Court of Malawi Financial Crimes Division in Lilongwe. ",,National Publications Limited,1
JAN 30 2020,,"UTM leader Saulos Chilima Chilima has urged for peace in the aftermath of the February 3 presidential court ruling. He also called on President Peter Mutharika to show the true character of a statesman by rising to the occasion and putting Malawi and Malawians above personal ambitions. He further called on the police to play their rightful role in ensuring peace in the aftermath of the ruling. According to Chilima, there is more that unites Malawians than divides them.",Taonga Sabola,Times 360 Malawi,1
JAN 12 2020,,Chief Justice Andrew Nyirenda has lodged a complaint to the Anti-Corruption Bureau on attempts to bribe Constitutional Court judges in the election results case.,,Times 360 Malawi,1
, JB PUSHES FOR ENVIRONMENTAL CONSERVATION IN ZOMBA,"Former president Joyce Banda has emphasized that Malawians need to put much effort on restoring the environment. She said this on Tuesday at Domasi in Zomba District when she launched a tree-planting exercise at the newly constructed houses for Cyclone Freddy survivors. Banda said environmental conservation initiatives are crucial for ensuring a more sustainable future. ""Through reforestation, Malawi can mitigate environmental shocks such as erratic rains and dry spells which are chocking agriculture,"" she said.  Banda, who also distributed foodstuffs such as maize and porridge flour to the communities, said Malawians should develop the spirit of sharing basic things to ensure that no one dies of hunger in the country.  ""The elderly, children and those suffering from chronic diseases need supplementary food support to be healthy,"" she said. Florida Mtunduwatha, a widow of five children from Kundecha Village in Senior Chief Malemia, who benefited from the relief maize, said she was in need of maize seed and fertilizer to invest in winter cropping.  She said the maize she planted was heat due to the district. scorched by dry spells for winter cropping, but I need farm inputs,"" said Mtunduwatha Group village head Mtogolo agreed with Mtunduwatha that communities need support of farm inputs such as seeds and fertilizer as well as water pumps to invest in winter cropping . ""We need sustainable agricultural technologies to be food secure,"" he said.  The former president is a Cyclone Freddy goodwill ambassador alongside former president Bakili Muluzi. ",,National Publications Limited,1
JAN 2 2020,,"Peter Mutharika, HRDC in verbal spat. While the majority of citizens are in a merry mood sending each other messages of hope and wishes for a better life in the New Year, there is still no love lost between President Peter Mutharika and the Human Rights Defenders Coalition (HRDC)",,Times 360 Malawi,1
10/5/2024,,"As I pen this letter, my heart bleeds for the innocent civil servants who have been subjected to unimaginable humiliation and abuse by MCP officials. The reports of forced kneeling for 2 hours have left me shaken, and I implore you to take immediate action.
How can a government that promises to serve and protect its citizens resort to such dehumanizing tactics? What message does this send to the world about our nation’s values? The very thought of our dedicated public servants, who work tirelessly to build our nation, being reduced to kneeling before power-drunk officials is nothing short of heartbreaking.
These are not just statistics or nameless faces; they are mothers, fathers, brothers, and sisters who deserve dignity and respect. They are the backbone of our nation, working tirelessly to provide essential services. Must they be punished for serving their country?
Mr. President Show commitment, Investigate these heinous acts, Hold perpetrators accountable, Protect civil servants’ rights and dignity
We elected you to lead our nation with compassion, justice, and integrity. The world watches as Malawi’s reputation hangs in the balance.
History will judge your actions. Will you stand for justice or turn a blind eye?
Sincerely,",,Malawi Voice,0
FEB 13 2020,,"People are flocking to Katoto Ground where HRDC demonstrations will commence in Mzuzu. There is tight security from MDF soldiers and Malawi Police Service officers stationed at strategic locations, and many shops remain closed.",Sam Kalimira,Times 360 Malawi,1
JAN 30 2020,,Unofficial results at Malingunde polling centre Peter Dimba MCP  870 Julius Chombwe MMD  0 Frank Mazizi DPP  218 Patson Kachingwe  IND 4 Samson Phinifolo. IND   6,,Times 360 Malawi,1
FEB 19 2020,,"The House has now gone into division, where individual legislators will vote on the motion by Nkhata Bay West member of Parliament Chrispine Mphande, seeking to amend the Electoral Commission Act to, among others, give powers to the Public Appointments Committee on the appointment of MEC top officials.",,Times 360 Malawi,1
23/06/2022,Online gender-based violence an emerging concept-minister,"Minister of Information and Digitisation Gospel Kazako says online gender-based violence which has not received attention is an emerging concept in Malawi and the rest of the southern Africa.
The minister said this in Lilongwe on Tuesday during the launch of the Southern Africa report on online gender-based violence titled Understanding Online Gender-based Violence in Southern Africa.
The report provides regional evidence on the prevalence of digitally enabled gender-based violence as well as the policy and practice frameworks in response to the emerging phenomenon.
Kazako said this new phenomenon has not received much attention, especially in policy-related interventions compared to physical violence.
""We have formulated the National Cyber Security Strategy (2019-2024), which is aimed at providing a national framework for ensuring secure, safe and resilient cyberspace as well as fostering trust and confidence in cyberspace,"" he said.
Kazako said the Malawi Government will ensure that all constitutional provisions that protect the rights of women and girls are  further strengthened through various regulatory interventions.
Ministry of Gender, Community Development and Social Welfare principal gender and development officer Japhet Chirwa said government has shown commitment to responding and tackling online gender-based violence by developing the Electronic Transactions and Cyber Security Act of 2016.
Gender activist Barbara Banda said there is need to ensure that women and young girls are aware of online gender-based violence and the policies available for redress.
Gender Justice Unit executive director Sarai Chisala-Tempelhoff called for multi-stakeholder response to the vice.
The study focused on eight countries, namely Botswana, Malawi, Angola, South Africa, Zambia, Namibia, Botswana and Zimbabwe.",Brenda Buliyani,National Publications Limited,1
,Atupele says still in presidential race,"United Democratic Front (UDF) presidential candidate Atupele Muluzi has assured his party supporters that he is not withdrawing from the presidential race in the May 21 2019 Tripartite Elections. Muluzi, who is serving as Minister of health in President Peter Mutharika’s Cabinet, gave the assurance in Zomba on Wednesday when he addressed whistle – stop rallies at KKatete, Namisinga and Chinamwali in Zomba Changalume, Zomba Likangala and Zomba Central costituencies, respectively. His sentiments come amid speculation that he was set to withdraw his candidacy and endorse his current boss - Mutharika of Democratic Progressive Party (DPP). Speculation about Muluzi’s possible withdrawal from the race was heightened by the pill out of former president Joyce Banda, as presidential candidate for peoples’s party (PP), who endorsed Lazarus Chkwera of Malawi Congress Party (MCP). In his address, Muluzi, who alongside Vice –President Saulos Chilima are Mutharika’s Cabinet members challenging their boss in the presidential race, said a day does not past without critics hitting at him that he has sold the party, and he is a desperate leader withdrawing from the race. He said he had chosen to remain silent because in his 15 – year political career, his great enemy is poverty and not detractors. Muluzi said; “Therefore, make informed decisions on the polling say by voting back UDF into power if people are to have a leader who has their welfare at heart.” He said many local and international partners entrust him with various portfolios because he delivers. On the campaign, he said UDF has not been active since the launch of the campaign period but challenged that in 30 days the party will run a vigorous campaign until it bounces back into the government. Said Muluzi; “UDF has a clean history of ending poverty by investing in people, ensuring that they have money and food for their livelihood. We are committed to reversing the current challenges the country is facing when voted back into power. In their remarks, shadow parliamentarian in the constituencies – Chikumbutso Likandawe, hashhem Banda and Loveness Mulombe – expressed optimism to win and lead their constituent from poverty to prosperity. Zomba has 10 constituencies and in the 20 2014 Tripartite Elections, UDF won three, independents won two and Peoples’s Party (PP) won five. In the 2009 General Elections, UDF also failed to win any seat while DPP swept seven and independents too, three. UDF, then led by Atupele’s Father Bakili Muluzi, formed the first post – independence Multiparty administration in 1994 and led the country up to 2005 when Muluzi’s successor, Bingu wa Mutharika, ditched the Party to form DPP. Since 1994, UDF’s influence in Parliament has waned. In 1994, UDF won 85 seats out of 177 while in 1999 – when the number of seats was increased to 193 – UDF won 93 before dropping to 49 in 2004, 17 in 2009 and 14 in 2014.  ",,National Publications Limited,1
5 days ago,,Meet Ms Winnie Nyondo UTM member and former Media personel for the Late Vice President Dr Saulos Klaus Chilima currently working with the Vice President Dr Michael Bizwick Usi,,Times Exclusive,0
FEB 8 2020,,"As MCP Secretary General, Mkaka declares, “I will not allow Jane Ansah and all the other commissioners to manage the forthcoming presidential elections.”",Sharon Chirwa,Times 360 Malawi,1
JAN 28 2020,,"The Constitutional Court handling the presidential election results case is expected to deliver its judgement on Monday, February 3, 2020. This is according to a notice of the High Court, Lilongwe District Registry.",,Times 360 Malawi,1
FEB 12 2020,,The High Court is scheduled to reconvene at 4 PM to determine MEC's application for a stay order regarding the Constitutional Court's ruling that nullified the May 21 presidential election.,,Times 360 Malawi,1
JAN 30 2020,,UTM leader Saulos Chilima has urged party members to stay at home and listen to the court judgment on radio.,Taonga Sabola,Times 360 Malawi,1
FEB 3 2020,,The introduction of constituency tally centers was a breach of the law. Any changes made at the constituency level are considered null and void.,Sharon Chirwa,Times 360 Malawi,1
9/21/2024,DPP KOMANSO MCP ATUTA ANTHU KUPITA NAWO KU MZUZU,"Chipani chotsusa boma Cha DPP komanso cholamura Cha MCP zakhala zikunyamula anthu kuchokera mmadela osiyanasiyana Maka chigawo chapakati komanso chigawo chakumwera Kwa dziko lino
Zipani ziwirizi zili ndi misonkhano ya ndale mmzinda wa Mzuzu pa makilomita otalikana 20. Chipani Cha DPP chikhale ndi mtsogoleri wake Prof Peter Muthalika pamene chipani Cha MCP chikhale ndi wachiwiri Kwa mtsogoleri wachipani a Hon Catherine Gotani Hara komanso oyimba osiyanasiyana kuphatikizapo Dan Lu.
Mzithunzimu ndi ma magalimoto omwe anyamula anthu ochuluka kwambiri ochokera zigawo za pakati komanso ku mwera Kwa dziko lino. ",,Times Exclusive,0
,Atupele  confirms political interest ,"Former United Democratic Front president Atupele Muluzi yesterday said he is ready to bounce back into active politics to serve Malawians. 
He gave a hint during a rally to cerebrate 30 years of UDF’s existence at Nyambadwe Primary School groung inBlantyre , about a year after announcing his retirement from active politics to focus on business. 
Atupele's position follows calls by some UDF members who are asking him to be the former governing party’s torchbearer in the 2025 presidential elections. 
In an interview yesterday after adressing party followers at Nyambadwe Primary School ground in Ndirande Township in Blantyre as part of the party’s 30 anniversary cerebration, he said he has positively considered the calls by the party members to be ready to serve Malawi. 
Atupele, who is son of UDF co – founder and the country’s first multiparty president Bakili Muluzi, said ‘ “I want to make it clear, if the people want me to serve them , i am ready to serve them in whatever capacity they wish me to serve. We have heard from Blantyre and we need to go to other places to hear what other people have to say. 
“I have to listen to the people, l have made it clear that l am here to serve the people.” 
Earlier during the rally, UDF regional governor for the south Dorothy Masinga all UDF members in the Southern Region have agreed to endorse Atupele as the party’s torchbearer in the 2025 elections and that they will vote for him at the party’s convention. 
“Last week, party members issued a petition asking honourable Atupele Muluzi to bounce back and be our leader. They say he had good leadership skills and experience. So, we have agreed that Muluzi will be the party’s right candidate,” she said. 
Her statement comes a week after some UDF members in Mangochi asked Atupele to rejoied the party and become the leader. 
Before making speech, he called for a minute of silence in honour of the people who died due to the impact of Tropical Cyclone Freddy in the country. 
Atupele asked government to consider conducting mass national identity card registration, saying most Cyclone Freddy survivors lost their cards. 
He also asked all former members of UDF, saying this is the right time to join before the party returns to power after the 2025 elections. 
Speaaking during the rally, one of the campaigners of multiparty democracy and UDF founding member Ziliro Chirambo, who was also the country’s current economic status is not what they fought for. 
He urged the UDF leadership to carefully choose a political party to partner with as no single entity can amass the 50 percent – plus – one vote threshold in the presidential election. 
Other notable faces at the rally include Haphman Makande and Peter Fachi who served as the party in various positions. UDF acting president Lilian Patel was not present as she was reported to be in Scotland for Parliamentary business. ",,National Publications Limited,1
9/28/2024,,"In a surprise reversal, Aisha Adams, Second Deputy Speaker of Parliament, has rescinded her decision to resign as United Democratic Front (UDF) convention chairperson.
Adams had initially stepped down citing internal divisions and divergent views on the party’s direction.
However, in an interview with Capital FM, Adams revealed that the reasons for her resignation have been resolved amicably, prompting her return.
A key factor in her decision was the agreement to exclude the Malawi Congress Party (MCP) from the UDF convention to avoid conflicts with UDF supporters.
“We have agreed that MCP should not come to our convention to avoid problems with our supporters,” Adams stated.",,Malawi Voice,0
FEB 4 2020,,"The ruling Democratic Progressive Party (DPP) has stated that greed among its officials contributed to their loss in the presidential elections. DPP director of elections Ben Phiri, who also serves as Minister of Local Government and Rural Development, made these comments on Tuesday in Mangochi during the elevation of three Traditional Authorities to Senior Chiefs. Phiri acknowledged that some supporters are disappointed with the Constitutional Court's nullification of the presidential election results but asserted that the DPP will campaign vigorously to reclaim the presidency. He attributed the DPP's failure to secure a landslide victory in the May elections to greed, which hindered the Eastern and Southern regions from uniting effectively.",Yohane Symon,Times 360 Malawi,1
FEB 18 2020,,"The Democratic Progressive Party claims its intelligence has established that some politicians have bought materials similar to its party regalia to be given to young people, with the aim of inciting violence during planned protests in the cities of Zomba, Lilongwe, and Mzuzu. During a press briefing in Blantyre, Secretary General for the party Grezelder Jeffrey warned that such intruders will be dealt with accordingly.",Mandy Pondani,Times 360 Malawi,1
10/1/2024,,"Daudi Chikwanje, the Democratic Progressive Party (DPP) governor for the eastern region, has been summoned by police at Liwonde, Machinga.
Chikwanje’s summons follows remarks he made at a political rally in Machinga yesterday, which authorities deem potentially inciteful of violence.",,Malawi Voice,0
,Atupele delivers public lecture of Bunda ,"United Democratic Front (UDF) presidential candidate Atupele Muluzi on Friday delivered a public lecture at Bunda College, a Constituent College of Lilongwe University of Agriculture and Natural Resources (Luanar). 
He assured students of a good learning environment if UDF wins the 20 May Tripartite Elections. Muluzi, who was accompanied by his running mate Godfrey Chapola, said it is said that the youth are not contributing to the development of the country. “It is unfortunate that many secondary and university graduates have nothing to do in our country. Considering that youths are in majority, there is need for government to create a conductive environment for them. Therefore, UDF government will invest in youths through creation of jobs,” he said. Muluzi said Malawi can only move forward if it educates its majority youths. “Let our education be the foundation of wealth creation so that Malawi should move forward economically,” he said. Muluzi is the second presidential candidate to deliver a public lecture at Bunda after Malawi Congress Party (MCP) presidential candidate Lazarus Chakwera only this year.  ",,National Publications Limited,1
,"YOU QUIT, APM TELLS CHAKWERA","Former president Peter Mutharika alongside some opposition Democratic Progressive Party (DPP) officials yesterday asked President Lazarus Chakwera to resigns for allegedly falling to govern the country amid a worsening economic situation. But Minister of information and Digitization Gospel Kazako who is the official government’s spokesperson, laughed off the calls, saying Chakwera and Tonse Alliance are not moving an inch out of Capital Hill.  Speaking during a news conference at his beachside home in Mangochi, Mutharika, who turns 82 today, said his successor has failed to show decisive leadership which he promised Malawians. He said since Chakwera promised to resign after two years if he failed to govern, the DPP holds the view that he has failed, as such, should step aside. Said Mutharika: ""There are analysts who always blame the DPP for the current challenges being faced in this country. They analysts] also say the DPP is weak for falling to provide an oversight but that is riot the case. ""That if there is anyone to blame, it must be the Tonse Alliance because it has failed to live by its campaign promises and not the DPP Chakwera has failed, he must resign,"" Mutharika further said Malawi has lost direction under the nine-party Tonse Alliance administration Chakwera leads. He cited the rise in the cost of living that continues to affect citizenry as one area his successor was failing, He dismissed assertions that the economic impact of Covid-19 and Russia's worsened the situation, arguing that countries such as Tanzania, Zambia and Mozambique were pushing forward despite being haunted by similar challenges. The former president blamed the Chakwera administration for victimizing officials from former DPP government and specifically those from the Southern Region. While dismissing allegations of his alleged involvement in the killing of persons with albinism, Mutharika said the allegations are aimed diverting attention from real issues affecting the country. He said his dream to turn Malawi into Singapore would have come to fruition and that his administration had already sourced funds to transform the lives of Malawians.  ""Malawi would have become Singapore. We actually found money to tum around the situation by having good infrastructure such as roads,"" said the former president, The DPP leader went on to condemn arrests of members of his party, describing such moves as a contravention of the rule of law saying most of the arrests seem to have lost direction in the course of investigations. Mutharika has since asked Chakwera to stop politicizing public projects that were initiated under the DPP administration, saying that the President must give credit where its due.Taking his turn, Mutharika's spokesperson Shadric Namalomba said Malawians are facing challenges emanating from poor leadership. 

He said: ""The economy is worsening. We are victims of a failed leadership. President Chakwera doesn't know anything about the economy and how to alleviate poverty among the people."" 

Namalomba, who is also Mangochi Southwest legislator, said when the DPP left power through the court-sanctioned Fresh Presidential Election on June 23 2020, inflation had averaged 8.63 percent unlike in the current administration which went over 14 percent as of May 2022. 

On his part, DPP director of legal affairs Charles Mhango said Chakwera has done nothing during his two-year tenure. 

He said Chakwera has failed to promote the rule of law or trim his powers and has instead focused on persecuting innocent Malawians. 

But Kazako laughed off the sentiments by Mutharika and his DPP colleagues, saying: ""These are politically bereaved people. All they can do is to try to be relevant and take advantage of global economic trends. 

""We are not moved an inch. We are moving forward. We are building a new Malawi."" 

Reacting to suggestions that disunity in DPP was unhealthy for an opposition party that is supposed to provide checks and balances to the government, Mutharika yesterday said the party is in a rebuilding process and expressed confidence that it will win the 2025 general elections. ",,National Publications Limited,1
,Atupele promises hospital in Phalombe ,"The united Democratic Front (UDF) says once voted into government in the May 20 Tripartite Elections it will build a district hospital in Phalombe, which despite being upgraded to a district status over 15 years ago. UDF presidential hopeful Atupele Muluzi said this on Saturday when he conducted whistle – stop tour in Phalombe North East and Phalombe East constituencies. Atupele said access to good health facilities for Malawians is one of his priorities and as the country will be celebrating 50 years of independence, the people of Phalombe deserve better just as other people other districts in the country. “It is saddening to note that after 50 years of self-rule, Phalombe has never had a district hospital. Health is a priority, and every person has a right to good health. It is high time Phalombe had a district hospital just as its neighbour, Chiradzulu,” He said. Atupele also said he will remove the coupon system and bring universal fertiliser subsidy so that everyone is able purchase farm inputs. Speaking at Nambazo Health Centre groung in Phalombe North East Constituency, Group Village Head (GVH) Nambazo commented Atupele for his initiative to reach the people of the area irresponsible of the bad roads. 
Nambazo commended plans to bring a district hospital to the area and pleaded with him to include a cellphone network tower to the area in his plans for easy communication. Phalomba hospital construction has been a bone of contention since 2010/2011 budget allocation, where over K300 million was reportedly spent on the project, yet there is nothing on the ground. Last year, Phalombe community members presented a six – point petition to the district commissioner’s office over lack of adquate medical facilities due to the absence of a district hospital in their district. ",,National Publications Limited,1
FEB 8 2020,,"Freedom Party President Khumbo Kachali declares that Chakwera is the only one who can resolve the country’s problems, saying, “We have a history that it is only the Malawi Congress Party that solves our problems.”",MacDonald Thom,Times 360 Malawi,1
10/3/2024,MSUNGAMA FOR MORE DEVELOPMENT PROJECTS,"Member of Parliament for Lilongwe South East Constituency Ulemu Msungama has pledged to drive more developmental projects in his area.
Speaking in an interview on Tuesday, Msungama said besides initiating new development projects, he is working hard to finalise some of the projects he started in a quest for greater development to the community.
“We have several projects that are already in the pipeline and we want to make sure that they continue under the dynamic leadership of president of the country Dr Lazarus Macarthur Chakwera,” he said.
Commenting on how residents in Lilongwe South East Constituency have for years struggled with deplorable roads, Msungama has assured people that government is set to begin construction of Chipasula, Don Bosco and Gologota-Benito roads and other projects.
Read more: ",,Malawi Voice,0
