TITLE,DATE,AUTHOR,CORPORATE AUTHOR,CONTENT
,OCT 8 2024,,Malawi Independent,"BREAKING NEWS Malawi's three senior cabinet ministers in the Chakwera administration have tendered their resignation to President Chakwera, our sources from capital hill have revealed. Two of the cabinet ministers who come from the northern part of the country have expressed deep concerns on how Chakwera and his close associates have  embroiled themselves into stinking corruption. Quite interesting is the reason that has forced the  other third Minister to resign. It is alleged that since the death of Chilima, he has been having sleepless nights and he is so troubled to an extent that he can no longer effectively discharge his duties.  Whilst other political commentators point to Corruption, tyranny and arrogance of Chakwera, some pundits say, resignation of those Ministers who come from the North is a reaction to a survey sanctioned by MCP which have revealed a steep declining popularity of the party standing at 8% with a surging popularity increase of the Democratic Progressive Party-DPP (74%)in the region, posting a threat that they will likely lose their seats if they decide to stand on MCP ticket in the upcoming Parliamentary elections."
,OCT 8 2024,,Malawi Independent,"The young people of this country should keep working hard and indeed prioritise education. There should be no excuses. Learn from us, your elders. HE.Prof.Arthur Peter Mutharika JSD October 06,2024, Mlhakho wa alhomwe. APM-A return to proven leadership"
,OCT 8 2024,,Malawi Independent,"Bridging Foundation Deal (2022): A fraudulent US$6.8 billion agreement that resulted in no tangible benefits for Malawi. Barkaat Foods Limited Scandal (2022): A US$1 billion scam for fertilizer procurement that never materialized, causing massive financial losses. East Bridge Estates Fraud (2023): A US$250 million fraudulent deal involving sovereign guarantees, which was defended by top officials despite its clear corruption...."
,OCT 7 2024,,Malawi Independent,"Controversial Joshua Chisa Mbele fondly called Mneneri Yoswa on Facebook has opened a further can of worms for outgoing and corrupt Malawi Congress Party, tipping scribe Kondwani Munthali on exposing the planned heist of MK 1.5 trillion by Malawi Congress Party officials when Malawians are suffering .  Mbele posted :”Munthali Bell Kondwani here little help is when misrepresention of material facts are suspected, hit them with 3 requests:..."
,OCT 7 2024,,Malawi Independent,"Desperate MCP thieves , they have failed to fool Malawians to steal MK 1.4 trillion  Now they have used their dobadoba to create a bogus website thinking they will fool Malawians again , positing to be the Dubai sheik ."
,OCT 7 2024,,Malawi Independent,One million jobs failed and the state of economy under Chimbalangondo Lazarus Chakwera is unimaginable. Let’s help this brother Richard Phiri .
,OCT 7 2024,,Malawi Independent,Incoming President Arthur Peter Mutharika at Mulhako Wa Alhomwe . Despite MCP tactics to distribute free Maize in Thyolo and Mulanje today . Thousands of people came out to embrace #ReturnToProvenLeadership.
,OCT 6 2024,,Malawi Independent,Things Fall Apart MCP since SKC’s death: not invited to Aford Convention; not invited to DPP Convention; not welcome to UDF Convention; banned from Mulhako wa Alomwe; And not wanted at all at UTM Convention.
,OCT 6 2024,,Malawi Independent,"93 out of 100 Malawians are feeling that outgoing President, Lazarus Chakwera is the most corrupt leader in the history .  This is according to a survey that has been conducted .  Chakwera and his close associates have been entangled in corruption and corrupt deals with nothing being done against his close men by the Anti Corruption Bureau, Law enforcement agencies and the Civil Society organizations despite overwhelming evidence of wrong doing ...."
,OCT 5 2024,,Malawi Independent,"Outgoing President Lazarus Chakwera has bought 4 newly introduced Toyota Prados to be on his convoy amid hunger in Malawi which has claimed lives of ten citizens in various places, who breathed last after consuming wild tubers. The fleet has costed Malawians a whooping K1.7Billion kwacha, enough funds to feed a hunger stricken nation . This has come at a time when Malawians are dying of hunger and eating wild roots in Machinga and Blantyre where the situation is bad . On top of that , Chakwera has replaced his motor home and added a new Presidential vehicle on his convoy ."
DEMOCRATIC PROGRESSIVE PARTY (DPP) PUBLIC STATEMENT OUR SERIOUS CONCERN WITH AN INCREASE IN MCP VIOLENCE AND REIGN OF TERROR,MARCH 29 2020,,Malawi Independent,"For Immediate Release 29TH March, 2020 (Lilongwe) INTRODUCTION The Democratic Progressive Party (DPP) is deeply concerned with a recent spate and increase in the violence and terror perpetrated by the Malawi Congress Party (MCP) and its agents. The new wave of terror has been gripped the Central Region where people in the districts of Lilongwe and Dedza are experiencing untold suffering and macabre attacks. We have issued this statement to condemn such violence. CONTEXT These sad events, recent attacks and terror activities, are targeting our DPP governors and DPP leaders in various villages across Lilongwe and Dedza. We have received reports that DPP supporters are living in fear and some have abandoned their homes, they have fled their villages, and are currently in hiding.  We have also received sad reports where groups of people that were holding meetings over MEDF loans were attacked and dispersed by the MCP and its hooligans. Some of these innocent people who were discussing MEDF loans are Malawians from the villages that are in the vicinity of MCP leader Lazarus Chakwera’s constituency in Lilongwe rural. They are innocent women, youths and men who were in search for economic empowerment to improve their lives and alleviate their poverty through the loans.  Some of these people who are attacked are not even DPP supporters. They are mere villagers since the MEDF loans are benefiting all deserving Malawians without regard to political affiliation. Unfortunately, MCP has in its usual style of using violence and terror, disturbed the economic prospects and has dashed the hopes for these innocent Malawians. MCP RECORD OF HISTORICAL VIOLENCE The DPP continues to register our profound concern with the record of violence that has become the identity of MCP as a party of darkness. History will never be erased as Malawians shall always remember MCP as a party of death. The Mwanza murders will never be forgotten. The death of Attati Mpakati, Mkwapatira Mhango, Chisiza and Orton Chirwa are all part of MCP’s historical legacy as a party of death.  Many Malawians were fed to crocodiles. Many lost their jobs, they parted with their families, and hundreds languished in exile because of MCP. A whole village of Che-Moto in Mangochi was burnt down under MCP. The party never respected human rights. Members of Jehova’s Witnesses suffered and many had their properties including houses seized. The MCP sent teachers from the Northern Region back to their districts in 1988.  Special prisons were built such as Mikuyu in Zomba where people like Sam Mpasu, Edge Kanyongolo and Jack Mapanje were incarcerated for months and years. Sadly, during the Referendum of 1993, the MCP voted against change. They rejected multiparty. They said NO to democracy. The MCP even planned to kill Catholic Bishops. But the majority of Malawians defeated the MCP and they chose democracy. Malawians chose peace and stability. They rejected darkness and we chose development. MCP AND MODERN DAY VIOLENCE We note with sadness that the MCP has not changed. We in the DPP hereby and urgently call upon all Malawians of goodwill to rise and protect our constitutional democracy. The MCP has not transformed. Our nation has been infiltrated with actors that are masquerading as democratic actors yet they are bent on demolishing the very foundations on which our hard worn democracy was built. The MCP is on the forefront leading this crusade of terror. We wish to repeat what we said a few weeks ago that we have recently observed the systematic collusion between Chilima and MCP who have hijacked the HRDC platform and have turned themselves into a three-some axis of evil. As the DPP, we will not tire, we will not relent, we will not be cowed down, and we will not give an inch of space for this axis of evil to overthrow our constitutional democracy. MCP is a misfit in our modern day democracy. They are continuing with their legacy and identity of terror. MCP has turned some few Nsundwe residents into modern day hitmen and agents of violence. We will not forget how a precious life of a police man was cut shot in Msundwe under the watch of the MCP leaders and Lazarus Chakwera. We will not forget how MCP and its agents have burned people’s houses, looted shops, demolished schools and set on fire police stations, all in the name of demonstrations.  Today, the Central Region is bleeding because of MCP. Parts of the Northern Region are also suffering from the joint terror operations under MCP-UTM and using the HRDC platform. We in the DPP will not get tired and we will condemn these undemocratic behaviours. DPP is a peaceful institution. We do not tolerate anarchy. We believe in development. CONCLUSION In conclusion, the DPP will ensure to protect our members from these attacks. The DPP wishes to assure all our supporters in the Central Region and in all regions of Malawi that we will protect you. We have put in place special measures, which we will not reveal the details here for obvious reasons. These measures are designed to ensure your safety. We have already linked up with law enforcement agencies to bring to book all the perpetrators of this violence, and we look forward to the arrests of these evil minded persons.  We wish to strongly warn and caution the MCP. Enough is enough. This time around, you will not succeed in your plans to cause chaos. We will hold you accountable and we will use all constitutionally acceptable means to block your evil plans. As the DPP, we will defend the Constitution. Violence and terror will never defeat democracy and development; darkness will never conquer light. Lastly, the DPP observes that Coronavirus (Covid-19) continues to wreak havoc in many countries. Since Malawi is not an island, we are bound to be affected in one way or the other. We therefore call upon all Malawians to follow the health guidelines and advice provided by His Excellency the State President Prof. Arthur Peter Mutharika. We urge all Malawians to adhere to the measures issued by the government. In addition, the DPP strongly warns the MCP and UTM to stop politicising the coronavirus.  We wish to admonish MCP that instead of fighting Coronavirus, MCP is busy fighting people. Instead of joining hands to fight Covid-19, MCP is busy unleashing terror on innocent villagers who simply want to receive MEDF loans in the Central Region. We will not leave you to succeed with your barbaric actions. DPP will protect development. DPP will protect Malawi. DPP! We are Unstoppable DPP! We are Unbreakable DPP! We are Unshakable DPP! We stand for Constitutionalism; We Stand for Development, Justice, and Security! Thank You, and God Bless Malawi. Signed: Griezeldar Jeffery Secretary General *Democratic Progressive Party*"
JUNIOR MDF OFFICERS GET FULL SALARIES WITHOUT DEDUCTIONS,MARCH 29 2020,,Malawi Independent,"Opposition attempts to mudslide new Army General flops The MCP/UTM desperate attempt to fight the new Army Commander and creating tension within Malawi Defence Forces has failed with information emerging that no junior officer in the MDF has his or her salary deducted, Cables can confirm. UTM and MCP alliance has unleashed a propaganda scheme alleging new MDF General is working on a plan to fund DPP by deducting salaries of junior officers without any explanation. As our duty is to investigate and provide this nation with correct information, Cables through its operatives in 1 MR, 2 MR, 3 MR, 4 MR, 5 MR, 6 MR and other military formations have established that all is well within MDF and no officer in the other ranks has suffered a salary decrease without any explanation in an attempt to loot funds to fund DPP campaign as alleged by opposition. Cables have established that opposition wants to use some people within the MDF to mess with the payroll of our men in uniform and point fingers at the new Commander. We have it on authority and we are monitoring all those that have been tasked to distort payrolls for soldiers to cause unrest in the military. As Cables, we will give a proper dosage to the ones involved and this has been done as a cover up for the dirt that Cables have sniffed from the MDF.  "
OPPOSITION CREATES BLOOD SUCKERS STORY TO MAKE NORTH AND CENTRAL REGIONS NO GO ZONES FOR DPP ,MARCH 29 2020,,Malawi Independent,"Cables investigations on stories about blood sucking in Central and Northern region districts has revealed that it is just a ploy by opposition parties to make people of the two regions create no go zones for ruling Democratic Progressive Party (DPP). According to information gathered by the Cables, Malawi Congress Party and UTM are aware that DPP is fond of using unconventional campaign tactics and as an attempt to stop them they have resorted to creating fear on the people in the two regions so that DPP officials must not be able to carry out underground campaign operations as doing that will expose the operatives who will be suspected as blood suckers. Cables urge law enforcers to be vigilant in curbing this to avert the risk of having innocent people killed by the brainwashed mobs.  "
CABLES EDITORIAL COMMENT. BRAVO MALAWIANS FOR SNUBBING THESE POWER HUNGRY OPPOSITION POLITICIANS,MARCH 27 2020,,Malawi Independent,"Greedy politicians are those that won't mind destroying their own country as long as they get what they want. A few days ago opposition political parties UTM and Malawi Congress Party in their quest to bring the DPP government on its knees held a joint press briefing where they communicated a number of strategies they have put in place to force MEC Chair Jane Ansah and all the commissioners to resign after president Mutharika threw to the dustbin a recommendation from the Public Appointments Committee of parliament to fire them. One of the strategies that was communicated during the press briefing was telling Malawians to abscond from work on Friday the 27th March 2020. Cometh the day and Malawians said no. They stood by principles of patriotism and reported for work. Bravo! Cables therefore condemn the opposition for making irrational decisions that can destroy the only country we call home. It's refreshing to note that Malawians chose their country by not listening to the desperate opposition parties. On Friday March 27th 2020, Malawians woke up early and went on to their daily chores. If this is not a middle finger to the opposition then what is? Cables are even more pleased to see pictures of opposition supporters in their offices, a sign that for once they opted for their country and not cheap politics as promoted by these desperate opposition parties. Cables therefore part Malawians at the back for doing the right thing today. Let's always remember and stand by these three important pillars of development; patriotism, hardwork and integrity.  "
OPPOSITION HIRES RIGGING TEAM; SIMBI PHIRI FOOTS THE BILLS TUESDAY,MARCH 25 2020  ,,Malawi Independent,Cables is in possession of files and communication trails exposing a team which Simbi Phiri has paid $1.2 million to rig the coming fresh elections in Malawi. We can confidently reveal that the deals were striked two days ago when the team was contracted. The team leader is a Rwandese of Kenyan origin and other two guys from overseas. Dr. Bright Gameli Mawudor is the one coordinating a team of two hackers made of a Bulgarian and a Romanian.  
"HARRY MKANDAWIRE, KHUMBO KACHALI TO DUMP MCP/UTM ALLIANCE",MARCH 25 2020  ,,Malawi Independent,"As Senior members have shown interest to jump the sinking ship Senior Malawi Congress Party officials including its Vice President for the North Harry Mkandawire are set to dump the MCP/UTM Alliance, Cables can reveal. According to information we have gathered, those that are set to dump the alliance include former state Vice President and Freedom party President Khumbo Kachali, Halima Daudi, Khumbize Chiponda and Ken Kandodo among others. Cables have it on higher authority that about 10 Members of Parliament for MCP from across the country have also shown interest in dumping the alliance saying it lacks leadership, vision, tolerance and zeal to serve Malawians. We can further reveal that meetings have been taking place championed by Harry Mkandawire and Kachali on their next move before the fresh elections. It is not yet known why prominent figures are dumping the MCP and UTM alliance barely days after they signed their agreement. Most people in MCP according to the Cables do not feel safe with the coming in of Chilima virus, who they have accused of being a fortune seeker and a greedy politician who can even kill just to get to the presidency, as revealed by the recordings in which he was heard planning to assassinate President Arthur Peter Mutharika. Cables will keep you updated as the drama in the UTM/MCP alliance unfolds.  "
"MCP PLANS TO ASSASSINATE VP CHILIMA USING RSA MAFIOSO; CHAKWERA ""NOT AWARE OF THE PLOT"". ",MARCH 18 2020,,Malawi Independent,"Cables can exclusively reveal that Malawi Congress Party operatives have resurrected plans to assassinate Vice President Saulos Chilima, saying his political stamina is affecting their popularity and votes, Cables can reveal. According to information in our possession, prior to the May 21 polls in 2019, MCP operatives led by Secretary General Eisenhower Mkaka and South Africa based business magnate Simbi Phiri identified a team of hitmen from South Africa, who were paid handsomely to terminate Chilima and heap the blame on the ruling DPP. They raised serious concerns that the coming of UTM was a challenge to MCP therefore affecting their chances of winning the 2019 elections. However, this plan was hatched without the blessings of MCP President Lazarus Chakwera who later after knowing of the plan instructed his boys to drop it. The plan was therefore botched only to be resurrected after MCP lost the election claiming Chilima is the reason MCP lost. Now with squabbles in the MCP and UTM alliance as to who will lead their coalition, Mkaka and Simbi Phiri are back with their evil plans. We can reveal that hitmen have arrived in the country from South Africa to handle Chilima without the knowledge of Chakwera again. Their plan is simple, get rid of Chilima, and take control of UTM. We will give you details of the hitmen and where they are residing as of now.  "
UTM-MCP ALLIANCE CANCELS THE MUCH-BILLED MANGOCHI RALLY  ,MARCH 18 2020,,Malawi Independent,"_As people of Mangochi demand answers from the two parties on the death of Inspector Imedi_   UTM together with their political allies MCP will never know peace as the people of Mangochi have demanded answers from the two parties on the death of one of their own, Inspector Imedi, who was brutally murdered by MCP, UTM, and HRDC-sponsored terrorists from Msundwe. The development has forced the opposition alliance to cancel its planned political rally over the weekend, Cables can reveal. Cables understand that the people of Mangochi have demanded that the two opposition parties must provide answers before holding any political party activities in the eastern region. MCP and UTM celebrated the death of Inspector Imedi, with MCP leader Lazarus Chakwera holding a political rally in Msundwe soon after the incident to thank the terrorists for committing such an inhuman act against an innocent officer who died while protecting people's lives and property.  "
IN POSSESSION OF MCP's STRATEGY FOR FRESH ELECTION  ,MARCH 18 2020,,Malawi Independent,"We can confidently reveal that we are in possession of a document which is the Master Plan for MCP for the upcoming fresh presidential election. MCP hired a Zambian, a former cabinet minister who worked in Zambia's intelligence unit, Mr. Vernon Mwanga, to create a political strategy for the party in the forthcoming fresh poll. We have the entire copy and will soon be unpacking it for the public. We have made plenty of copies and will share them with those who want it, as well as sharing it on social media in a series. During his stay in Malawi for consultations with the MCP strategy team, the consultant also engaged in a sex spree with three women, including a former Miss Malawi, at Cross Roads Hotel in Lilongwe. We have all of those on tape.  "
CABLES TAKE  APM WEEK of Resetting the DPP System.  ,MARCH 18 2020,,Malawi Independent,"Our State President, His Excellency Professor Arthur Peter Mutharika, is a political strategist who loves reading war books. He strikes when his opponents least expect it, Cables can confirm. This week, the President is busy dealing with issues of national importance, and the Cables have named it ""APM WEEK"" with a hashtag #OperationResettingDPPSystem. Cables have it on authority that our revered Professor of Law is not yet done with more announcements on decisions he has made. Stay glued to your radios around noon today for the mother of all breaking news.  "
ON A MISSION TO FINISH MCP: CHILIMA CONFIDES TO HIS INNER CIRCLE THAT HE WILL LEAD THE MCP/UTM ALLIANCE  ,MARCH 16 2020  ,,Malawi Independent,"UTM president Saulos Chilima has confided to his inner circle that he will lead the MCP/UTM alliance, with Malawi Congress Party president Lazarus Chakwera as his running mate. If not, Chilima insists MCP should forget about the alliance because he is already the Vice President, while Chakwera is just a mere parliamentarian with no experience in running government affairs, Cables can reveal. ""Chakwera is only popular in the Central Region; the alliance needs a candidate who is popular in all regions, and that person is me,"" Chilima is quoted as saying. Cables have learned that Chilima has set up a team to clandestinely push for his presidential ambition within the alliance. Chilima insists that he is well-placed to lead the alliance as he has experience in government, having served as Cabinet Minister and Vice President.  "
,MARCH 11 2020,,Malawi Independent,"Unofficial results for Liwawadzi local government by-elections: Precios Chimtengo ( Ind) 665 votes Pharaoh Kambiri ( DPP) 2,615 votes Mervin Makwinja ( FP)101votes Harish Mhere ( MMD) 28 votes Ronald Mphepo 537, Obedi Peter ( Ind) 632 votes. Total: 4,578 Null and VoidS 30, Total votes cast: 4,608 Total registered voters: 20, 482"
MUTHARIKA’S 48 MEMBER STRONG CABINET ,MARCH 15 2020,,Malawi Independent,"Mutharika must hire an inclusive 48 member strong cabinet. No half measures. You’re damned if you hire 20, damned if you hire 50. Well, you may as well go all the way. It should be a political and not feel good cabinet. Oh, before I forget Mr. President spare 10 slots for cadets from both camps and surprises. This time don’t allow HRDC, media, PAC, judges, religious organizations, usual quoted political commentators and analysts to dictate you as all these are looking out for the interests of MCP and UTM not that of the country as they claim. Be bold and decisive in making this decision. Let them kick and scream on top of their lungs as they always do. Give them red meat and something to talk about.  I hear MCP/UTM alliance once in power they intend to have not only president and his VP but also first and second prime minister as well as second and third Vice Presidents. The truth is all of your critics above will be awol and see no problem even if they come up with a 70 member cabinet. You don’t only call out hypocrites, you punch back tenfold."
UTM-MCP ALLIANCE WIDENS CRACKS IN UTM,MARCH 12 2020,,Malawi Independent,"Some NEC members challenged Chilima over the alliance with MCP Cracks continue to emerge in United Transformation Movement of Saulos Chilima after the meeting the Central Executive Committee (CEC) had on Wednesday. Chilima who is in a political dilemma briefed his central executive committee that he had a meeting with Lazarus Chakwera on Thursday night last week around 9:00 PM where the two leaders agreed to go into a political alliance. He revealed to the  Committee that the talks were being initiated by business magnet, billionaire Simbi Phiri and some justice of appeal judges whom he did not mention. Cables understand that Chilima met these judges again on  Monday evening around 9:30 PM  where they were given  $ 1 million to sway  judgement of the stay of execution order on Wednesday in their favor but their plans changed after Cables exposed details of the court proceedings on the matter. During the UTM Nec meeting some senior officials including -Norman Nyirenda, Willet Kalonga & Leonard Chipoya voted NO to the alliance while veteran Musician Lucius Banda refused to vote at first but later voted yes with a with a heavy heart when he was promised MK 200 million from Simbi Phiri. Patricia Kaliati who voted YES for the alliance openly told Saulos Chilima and the Central Executive Committee that people of Mulanje and other lomwe belt Areas who gave their votes to Chilima will not be able to support the  UTM-MCP Alliance. Comedians turned politicians Michael Usi ( Manganya) , Bon Kalindo ( Winiko) along with Chidanti Malunga gave an emphatic YES to the alliance. However, Yassin Maoni advised Saulos Chilima and Central Executive Committee to avoid bypassing the National Executive Committee by way of endorsing the Central Executive Committee resolutions as it was unconstitutional and can be challenged. There are mixed reactions to the alliance between UTM and MCP supporters, with others emphasizing they will not vote as ideologies which made them to follow Chilima are not the same with MCP."
,MARCH 11 2020,,Malawi Independent,Malawi Congress Party (MCP) and UTM supporters on Tuesday wrecked havoc on Islamic Information Bureau facility in Lilongwe as they vented their anger after Police arrested Human Rights Defenders Coalition (HRDC) chairperson Timothy Mtambo. MCP and UTM has been hiding behind HRDC organising violent demostrations in Lilongwe and some Northern region districts.
MCP AND UTM SUPPORTERS RANSACK ISLAMIC INFORMATION BUREAU IN LILONGWE,MARCH 11 2020,,Malawi Independent,"Malawi Congress Party (MCP) and UTM supporters on Tuesday wrecked havoc on Islamic Information Bureau facility in Lilongwe as they vented their anger after Police arrested Human Rights Defenders Coalition (HRDC) chairperson Timothy Mtambo. MCP and UTM has been hiding behind HRDC organising violent demostrations in Lilongwe and some Northern region districts. An official from the Islamic information Burea who refused to be named said it can't be a mere coincidence for supporters of political parties to attack the Bureau as if it's a political party office. ""I feel sad especially that some of the supporters belong to a party led by a Reverend and former president of a Christian Church,' said the Bureau official. After destroying businesses and homes, HRDC, a terrorist arm of MCP has now resolved to target religious institutions. This is the same MCP that banned the Jehovah's Witnesses in Malawi. The recent attack is also aimed at a revenge against Hon Sidik Mia, a Muslim who is said to be contemplating returning to the UDF. "
CABLES EXCLUSIVE: SIMBI PHIRI BANKROLLS THE MCP-UTM ALLIANCE,MARCH 9 2020,,Malawi Independent,"Demands cause delay The much awaited MCP-UTM alliance is almost sealed but with a cost; a whooping 5 million US Dollars, Cables can reveal. The alliance has been bankrolled by Khato Civils Simbi Phiri following demands by UTM president Saulos Chilima who will become runningmate to MCP leader Lazarus Chakwera. Chilima, apart from monetary demands also made some extra demands that will make the office of the Vice President acquiring reasonable OPC powers where it would hire and fire some public officers unlike the current situation where it is more of a delegated office. Chilima had demanded that the 5 million dollars be paid upfront before announcement of the purported alliance. Meanwhile, UTM is split with some of the founders opting out of the alliance.  UTM Secretary General Patricia Kaliati and Noel Masangwi are some of those big gurus that are against the alliance. However, Simbi has promised  some of the UTM NEC members K200 million each to support the alliance."
GOVT TO DECLARE MCP- MURDERED COP USUMANI IMEDI A MARTYR; TO CONSTRUCT MEMORIAL PILLAR AT MSUNDWE,FEB 28 2020,,Malawi Independent,"Malawi Government is scheduled to declare murdered Malawi Police Mobile Service (PMS) officer Superintendent Usumani Imedi  a Martyr we can reveal .  A top government official has disclosed that President Prof. Arthur Peter Mutharika has given instructions  to the depart of  national monuments and archives  under the Ministry of Information, Civic Education and Culture to have  the butchered Usuman Imedi recognized for the role he played in fighting organized crime and acts of terrorism which costed him a life in the line of duty at Nsundwe Trading Center in Lilongwe. It has also been established that plans are underway to construct a memorial pillar at Nsundwe Trading Center where Imedi was butchered as  a way of remembering him and reminding the people of Nsundwe and Malawians of  the good police officer who was killed in the act of protecting citizens. The official further revealed that government will provide scholarships to the three kids of slain police officer Usumani Imedi who are struggling in their home village of Makanjira in Mangochi district until they finish their tertiary education. Imedi was brutally killed by an opposition sponsored mob at Msundwe in October 2019 where he was assigned as a team leader of PMS officers deployed to quell violent acts around Msundwe along the Lilongwe-Mchinji Road where rioters had barricaded the road that is also an international gateway. Until his death, Imedi was stationed at PMS C Company in Lilongwe and had just completed a two-month leadership and crowd control training course. He found himself rounded by the angry mob before he was stoned to death.  To the disappointment of many, MCP President Dr Lazarus Chakwera and his counterpart Dr Saulos Chilima went to Nsundwe where Imedi was brutally murdered and held a “ Thank you “ rally after the Feb 3rd, Con Court ruling.  Many analysts interpreted the two politicians gesture as a way for saying thank you to the people of Nsundwe for murdering  him in  cold blood .  And described the decision as  being very unfortunate."
,MARCH 26 2020,,Malawi Independent,DPP is going to win with 50+20 in fresh elections. Peter Mutharika speaking to DPP supporters at Kamuzu Palace in Lilongwe.
,APRIL 21 2020,,Malawi Independent,"UTM president Saulos Chilima has instructed his lawyers to apply for a court injunction against presentation of nomination papers. A member of Chilima inner circle told our publication  that presentation of nomination papers is a legal process such that it was supposed to be gazetted 14 days before the actual presentation of the papers. Malawi Independent  tried to speak to MEC legal advisor on the matter but his phone was not available. According to the MEC calendar for the fresh presidential election, nomination papers will be presented on 23rd and 24 April 2020"
,APRIL 20 2020,,Malawi Independent,MCP and UTM are evil.
MCP AND UTM THUGS ATTACK BEAM OFFICIALS IN LILONGWE,APRIL 16 2020,,Malawi Independent,"_They have destroyed sanitary items that BEAM was supposed to donate to Bwaila hospital in Lilongwe_ Old habits die hard; MCP and UTM thugs descended on unsuspecting BEAM officials in Lilongwe on the afternoon of Thursday 16th April, 2020 confiscating sanitary items and smashing one of BEAM vehicles. Their crime; they wanted to donate the items at Bwaila hospital in Lilongwe to help fight the Covid-19 pandemic. The thugs, who alighted from a Mazda Bongo minbus without registration which Cables have found that it belongs to MCP's Richard Chimwendo Banda, pounced on the BEAM officials as they were making entrance into the Bwaila hospital premises. Luckily, they were whisked to safety by onlookers who tried to reason with the thugs that the gesture by BEAM was for a good cause not politics. Cables understand the thugs were organised by UTM Central Region Youth Director Luke Mkandawire and his MCP counterpart Richard Chimwendo Banda who have vowed to reign terror on any DPP or anything related to the ruling party in the Central Region. The thugs have been identified as to have come from Biwi since they are regularly spotted at lower Biwi bottlestores  The two have been working with a  group of MCP job seekers Kokoliko movement led by jobless Daud Suleiman. The two parties together with HRDC terror group have been working to making the Central Region a no go zone for DPP. However, this is in contrally with developments in the Southern Region, a DPP stronghold where the two parties are able to hold their activities without being harrased. BEAM has been making such donations across the country."
,APRIL 12 2020,,Malawi Independent,"Reverend Lazarus Chakwera has been unleashing terror on Malawians from Southern, Eastern, Northern and even Central regions to gratify his lust for presidency. Over the past year, Malawians have witnessed how MCP has rebranded its old, Nazi-styled terror machine of the Youth League into a bloodletting instrument it was. Working with former members of the brutal Malawi Young Pioneers and some retired army officers, the league is terrorising Malawians in a manner of an occupation."
,APRIL 11 2020,,Malawi Independent,"The Chief Strategist for opposition Malawi Congress Party And parliamentarian Ken Zikhale Ng'oma is suspected of Corona virus.  According  to a close family associate of Zikhale Ng'oma, medical personnel are optimistic KZN whose sample has been taken for a Covid 19 test will come out positive. However, Zikhale has advised his family and MCP supporters to say he was poisoned by rulling DPP operatives to hide the truth of the story."
